initiales,nom,manufactureur,nb_jeu,sortie_eu,sortie_usa,sortir_jp,gen
NES,Nintendo Entertainment System,Nintendo,715,1987-10-27,1985-10-18,1983-07-15,3
SNES,Super Nintendo Entertainment System,Nintendo,1757,1992-06-06,1991-08-23,1990-11-21,4
N64,Nintendo 64,Nintendo,388,1997-03-01,1996-09-29,1996-06-23,5
GC,Nintendo GameCube,Nintendo,657,2001-05-03,2001-11-18,2001-09-14,6
Wii,Wii,Nintendo,1541,2006-12-08,2006-11-19,2006-12-02,7
WiiU,Wii U,Nintendo,772,2012-11-30,2012-11-18,2012-12-08,8
GB,GameBoy,Nintendo,1055,1989-09-28,1989-07-31,1989-04-21,4
GBC,GameBoy Color,Nintendo,660,1998-11-23,1998-11-18,1998-10-21,5
GBA,GameBoy Advance,Nintendo,1504,2001-06-22,2001-06-11,2001-03-21,6
DS,Nintendo DS,Nintendo,1965,2005-03-11,2004-11-21,2004-12-02,7
3DS,Nindentendo 3DS,Nintendo,1330,2011-03-25,2011-03-27,2011-02-26,8
PS,PlayStation,Sony,3066,1995-09-29,1995-09-09,1994-12-03,5
PS2,PlayStation 2,Sony,4490,2000-11-24,2000-10-26,2000-03-04,6
PS3,PlayStation 3,Sony,1442,2007-03-23,2006-11-17,2006-11-11,7
PS4,PlayStation 4,Sony,2504,2013-11-29,2013-11-15,2014-02-22,8
PSP,PlayStation Portable,Sony,1370,2005-09-01,2005-03-24,2004-12-12,7
PSV,PlayStation Vita,Sony,1535,2012-02-22,2012-02-22,2011-12-17,8
XB,Xbox,Microsoft,1000,2002-03-14,2001-11-15,2002-02-22,6
X360,Xbox 360,Microsoft,2084,2005-12-02,2005-11-22,2005-12-10,7
XOne,Xbox One,Microsoft,2440,2013-11-22,2013-11-22,2014-09-04,8
PC,PC,null,,,,,
2600,Atari 2600,Atari Inc.,526,1978-01-01,1997-09-11,1983-10-01,2
SAT,Saturn,Sega,1094,1995-07-08,1995-05-11,1994-11-22,5
DC,Dreamcast,Sega,620,1999-10-14,1999-09-09,1998-11-27,6
GEN,Genesis,Sega,902,1990-11-30,1989-08-14,1988-10-29,4
NG,Neo-Geo,SNK,156,1990-11-01,,1990-04-26,4
SCD,Sega CD,Sega,210,1993-04-01,1992-10-15,1991-12-12,4
WS,WonderSwan,Bandai,103,,,1999-03-04,6
PCFX,PC-FX,NEC,62,,,1994-12-23,5
GG,Game Gear,Sega,366,1991-04-01,1991-04-01,1990-10-06,4
TG16,TurboGrafx-16,NEC,686,1989-11-22,1989-08-29,1987-10-30,4
3DO,3DO Interactive Multiplayer,Panasonic,321,1994-06-11,1993-10-04,1994-03-20,5
